SKU,Name1,Name2,Name3,Name4
ST20231126_211124_EXPERIENCE THE THRILL OF THE,EXPERIENCE THE ,THRILL OF THE ,"UNKNOWN, WHERE EACH MOMENT ",IS A SURPRISE 
ST20231126_211125_NAVIGATE UNCHARTED TERRITORIES,NAVIGATE ,UNCHARTED TERRITORIES ,AND WRITE YOUR ,OWN ADVENTURE 
ST20231126_211126_EXPLORE THE WILDERNESS,EXPLORE THE ,"WILDERNESS, ",WHERE EVERY STEP IS ,A DISCOVERY 
ST20231126_211127_PITCH A TENT PITCH YOUR WORRIES,"PITCH A TENT, ",PITCH YOUR WORRIES ,NATURE HAS A REMEDY ,FOR THE SOUL 
ST20231126_211128_CAMPING THE ONLY TIME WHERE GETTING DIRTY,CAMPING: THE ONLY ,TIME WHERE GETTING DIRTY ,IS SOCIALLY ,ACCEPTABLE AND ENCOURAGED 
ST20231126_211129_CAMPING WHERE COFFEE TASTES BETTER,CAMPING: WHERE ,"COFFEE TASTES BETTER, ",AND WORRIES TASTE ,LIKE MARSHMALLOWS 
ST20231126_211130_CAMPING IS THE ONLY TIME MY PHONE,CAMPING IS THE ,ONLY TIME MY PHONE ,BATTERY LASTS LONGER ,THAN MY PATIENCE 
ST20231126_211131_CAMPING IS NATURES WAY OF,CAMPING IS ,NATURE'S WAY OF ,PROMOTING THE ,FLASHLIGHT INDUSTRY 
ST20231126_211132_IM NOT LAZY IM JUST,I'M NOT ,LAZY; I'M JUST ,ON ,ENERGY-SAVING MODE 
ST20231126_211133_CAMPING RULE IF IT LOOKS LIKE A BEAR,CAMPING RULE: IF IT ,LOOKS LIKE A BEAR ,"AND SMELLS LIKE A BEAR, ",IT'S A RACCOON 
ST20231126_211134_ROAST MARSHMALLOWS MAKE MEMORIES,ROAST ,"MARSHMALLOWS, MAKE MEMORIES, ",AND LEAVE ONLY ,FOOTPRINTS BEHIND 
ST20231126_211135_SEEK THE EXTRAORDINARY IN THE,SEEK THE ,EXTRAORDINARY IN THE ,"ORDINARY, FIND WONDER ",IN EVERY STEP 
ST20231126_211136_CAMPING IS THE PAUSE,CAMPING IS ,THE PAUSE ,BUTTON IN THE ,SYMPHONY OF LIFE 
ST20231126_211137_IN THE WILDERNESS I FIND,IN THE ,"WILDERNESS, I FIND ","MYSELF IN CAMPING, I ",FIND MY SOUL 
ST20231126_211138_I ASKED THE LIBRARIAN IF THE LIBRARY HAD ANY BOOKS ON,I ASKED THE LIBRARIAN IF ,THE LIBRARY HAD ANY BOOKS ON ,"PARANOIA SHE WHISPERED, ",'THEY'RE RIGHT BEHIND YOU' 
ST20231126_211139_MAKE DARING DISCOVERIES THAT,MAKE DARING ,DISCOVERIES THAT ,REDEFINE YOUR ,UNDERSTANDING OF THE WORLD 
ST20231126_211140_I DONT NEED AN ALARM CLOCK MY,I DON'T NEED AN ,ALARM CLOCK; MY ,BLADDER IS MY WAKE-UP ,CALL WHEN CAMPING 
ST20231126_211141_I HAVE A JOKE ABOUT CONSTRUCTION,I HAVE A JOKE ,"ABOUT CONSTRUCTION, ",BUT I'M STILL ,WORKING ON THAT ONE 
ST20231126_211142_CAMPFIRES AND CONSTELLATIONS WHERE,CAMPFIRES AND ,CONSTELLATIONS: WHERE ,ORDINARY MOMENTS BECOME ,EXTRAORDINARY MEMORIES 
ST20231126_211143_MY FAVORITE EXERCISE IS A CROSS BETWEEN,MY FAVORITE ,EXERCISE IS A CROSS BETWEEN ,A LUNGE AND A CRUNCH ,I CALL IT LUNCH 
ST20231126_211144_CAMPING A PASSPORT TO THE,CAMPING: A ,PASSPORT TO THE ,LAND OF SERENITY ,AND DISCOVERY 
ST20231126_211145_I TOLD MY WIFE SHE SHOULD EMBRACE,I TOLD MY WIFE ,SHE SHOULD EMBRACE ,HER MISTAKES SHE ,GAVE ME A HUG 
ST20231126_211146_THE BEST THERAPY IS FOREST,THE BEST THERAPY ,IS FOREST ,THERAPY-FOUND AT A ,CAMPSITE NEAR YOU 
ST20231126_211147_CAMPING IS THE ONLY TIME I CONSIDER,CAMPING IS THE ,ONLY TIME I CONSIDER ,'ROUGHING IT' AS NO ,ROOM SERVICE 
ST20231126_211148_ADVENTURE AWAITS AT THE END OF,ADVENTURE ,AWAITS AT THE END OF ,EVERY TRAIL LACE ,UP YOUR BOOTS 
ST20231126_211149_UNVEIL WONDERS HIDDEN IN PLAIN,UNVEIL WONDERS ,HIDDEN IN PLAIN ,"SIGHT, EMBRACE THE ",JOY OF DISCOVERY 
ST20231126_211150_IN THE GREAT OUTDOORS DISCOVER,IN THE GREAT ,"OUTDOORS, DISCOVER ",THE GREATNESS ,WITHIN YOURSELF 
ST20231126_211151_MY IDEA OF ROUGHING IT,MY IDEA OF ,ROUGHING IT ,IS A HOTEL ,WITHOUT WI-FI 
ST20231126_211152_FEARLESS ADVENTURERS LEAVE,FEARLESS ,ADVENTURERS LEAVE ,FOOTPRINTS WHERE OTHERS ,FEAR TO TREAD 
ST20231126_211153_CAMPING TURNS ORDINARY DAYS INTO,CAMPING TURNS ,ORDINARY DAYS INTO ,EXTRAORDINARY STORIES ,AROUND THE CAMPFIRE 
ST20231126_211154_BREAK BOUNDARIES EMBARK ON A,BREAK ,"BOUNDARIES, EMBARK ON A ",JOURNEY THAT ,TRANSCENDS LIMITS 
ST20231126_211155_WHY DO WE COOK BACON AND HOT DOGS OVER A FIRE,WHY DO WE COOK BACON ,AND HOT DOGS OVER A FIRE ,BUT BAKE COOKIES IN AN ,OVEN? CAMPING PHILOSOPHY 
ST20231126_211156_EVERY CORNER TURNED IS A NEW,EVERY CORNER ,TURNED IS A NEW ,ADVENTURE WAITING ,TO UNFOLD 
ST20231126_211157_CAMPING IS THE ART OF GETTING LOST,CAMPING IS THE ,ART OF GETTING LOST ,AND FINDING YOURSELF ,IN THE PROCESS 
ST20231126_211158_IF A CAMPER DOESNT INSTAGRAM,IF A CAMPER ,DOESN'T INSTAGRAM ,"THEIR TRIP, DID ",THEY EVEN CAMP? 
ST20231126_211159_I ASKED THE FOREST FOR WI-FI,I ASKED THE ,FOREST FOR WI-FI ,IT DIDN'T RESPOND ,RUDE TREES 
ST20231126_211200_I USED TO PLAY PIANO BY EAR BUT,I USED TO PLAY ,"PIANO BY EAR, BUT ",NOW I USE MY ,HANDS AND FINGERS 
ST20231126_211201_CAMPING FACT THE CLOSER YOU GET TO,CAMPING FACT: THE ,CLOSER YOU GET TO ,"NATURE, THE FARTHER YOU ",ARE FROM YOUR BED 
ST20231126_211202_I TOLD MY COMPUTER I NEEDED A BREAK AND,I TOLD MY COMPUTER I ,"NEEDED A BREAK, AND ",NOW IT WON'T STOP ,SENDING ME VACATION ADS 
ST20231126_211203_I USED TO BE A BAKER,I USED TO ,BE A BAKER ,BECAUSE I ,KNEADED DOUGH 
ST20231126_211206_BOLDLY GO WHERE NO ONE HAS GONE,BOLDLY GO WHERE NO ,ONE HAS GONE ,"BEFORE, EMBRACE THE THRILL ",OF EXPLORATION 
ST20231126_211207_IM NOT CLUMSY IM JUST TESTING,I'M NOT CLUMSY; ,I'M JUST TESTING ,"GRAVITY, AND IT ",STILL WORKS 
ST20231126_211208_FIND YOUR WILD PITCH A TENT,FIND YOUR WILD: ,"PITCH A TENT, ","BREATHE THE AIR, LIVE ",THE ADVENTURE 
ST20231126_211210_MY DOG USED TO CHASE PEOPLE ON A BIKE IT,MY DOG USED TO CHASE ,PEOPLE ON A BIKE IT ,"GOT SO BAD, I HAD TO ",TAKE HIS BIKE AWAY 
ST20231126_211211_EMBRACE THE JOURNEY FOR IN IT,EMBRACE THE ,"JOURNEY, FOR IN IT ",LIES THE ESSENCE OF ,TRUE ADVENTURE 
ST20231126_211212_CAMPING IS JUST A WAY TO TURN A REGULAR,CAMPING IS JUST A ,WAY TO TURN A REGULAR ,WEEKEND INTO A ,STORY-WORTHY ADVENTURE 
ST20231126_211213_IN EVERY CAMPERS HEART,IN EVERY ,"CAMPER'S HEART, ",NATURE FINDS A ,FOREVER HOME 
