SKU,Name1,Name2,Name3,Name4
ST20231125_155930_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,DYNAMIC AS A ,SLOTH ON CAFFEINE 
ST20231125_155931_WISHING YOU A DAY AS ELECTRIFYING,WISHING YOU A DAY ,AS ELECTRIFYING ,AS A BATTERY WITH ,ONE PERCENT CHARGE 
ST20231125_155932_HOPE YOUR DAY IS AS,HOPE YOUR ,DAY IS AS ,ORGANIZED AS A ,TEENAGER'S ROOM 
ST20231125_155933_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,INCREDIBLE AS MY ,DANCE MOVES (NOT) 
ST20231125_155934_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,RIVETING AS A ,POWERPOINT PRESENTATION 
ST20231125_155935_MAY YOUR DAY BE AS,MAY YOUR ,DAY BE AS ,GLAMOROUS AS ,WAITING ON HOLD 
ST20231125_155936_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,VIBRANT AS A BLACK ,AND WHITE MOVIE 
ST20231125_155937_MAY YOUR DAY BE AS,MAY YOUR ,DAY BE AS ,EVENTFUL AS A ,SILENT DISCO 
ST20231125_155938_HOPE YOUR DAY IS AS,HOPE YOUR ,DAY IS AS ,GLAMOROUS AS MY ,SPAM EMAILS 
ST20231125_155939_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,THRILLING AS COUNTING ,GRAINS OF SAND 
ST20231125_155940_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,LIVELY AS A LIBRARY ,ON A SUNDAY 
ST20231125_155941_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,SATISFYING AS ,UNSALTED POPCORN 
ST20231125_155942_WISHING YOU A DAY AS DYNAMIC,WISHING YOU A ,DAY AS DYNAMIC ,AS A SLOTH IN RUSH ,HOUR TRAFFIC 
ST20231125_155943_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,THRILLING AS ,WATCHING PAINT DRY 
ST20231125_155944_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,WONDERFUL AS MY ,ABILITY TO CARE 
ST20231125_155945_HOPE YOUR DAY IS AS SWEET,HOPE YOUR DAY ,IS AS SWEET ,AS YOUR LAST ,ONLINE REVIEW 
ST20231125_155946_MAY YOUR DAY BE AS GLAMOROUS,MAY YOUR DAY ,BE AS GLAMOROUS ,AS A MONDAY ,MORNING COMMUTE 
ST20231125_155947_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,SMOOTH AS A ,SANDPAPER HANDSHAKE 
ST20231125_155948_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,ENTERTAINING AS A LECTURE ,ON PAINT DRYING 
ST20231125_155949_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,SATISFYING AS AN ,UNSALTED PRETZEL 
ST20231125_155950_MAY YOUR DAY BE AS ACTION-PACKED,MAY YOUR DAY BE ,AS ACTION-PACKED ,AS A DOCUMENTARY ,ON PAINT DRYING 
ST20231125_155951_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,INSPIRING AS A BLANK ,WORD DOCUMENT 
ST20231125_155953_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,UPROARIOUS AS A MIME ,WITH LARYNGITIS 
ST20231125_155954_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,MAGICAL AS MY ,ABILITY TO ADULT 
ST20231125_155955_MAY YOUR DAY BE AS VIBRANT,MAY YOUR DAY ,BE AS VIBRANT ,AS YOUR ,PERSONALITY (NOT) 
ST20231125_155956_HOPE YOUR DAY IS AS,HOPE YOUR ,DAY IS AS ,AWE-INSPIRING AS A ,BLANK CANVAS 
ST20231125_155957_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,FASCINATING AS A ,CONVERSATION WITH SIRI 
ST20231125_155958_HOPE YOUR DAY IS AS,HOPE YOUR DAY ,IS AS ,FANTASTIC AS MY SINGING ,IN THE SHOWER 
ST20231125_155959_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,INVIGORATING AS WATCHING ,A SLEEPING CAT 
ST20231125_160000_HOPE YOUR DAY IS AS,HOPE YOUR ,DAY IS AS ,THRILLING AS ,WAITING ON HOLD 
ST20231125_160001_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,EXCITING AS ,WATCHING GRASS GROW 
ST20231125_160002_HOPE YOUR DAY IS AS VIBRANT,HOPE YOUR DAY ,IS AS VIBRANT ,AS A BLACK AND ,WHITE TELEVISION 
ST20231125_160003_HOPE YOUR DAY IS AS FULL OF,HOPE YOUR DAY IS ,AS FULL OF ,SURPRISES AS A CEREAL BOX ,WITHOUT A PRIZE 
ST20231125_160004_HOPE YOUR DAY IS AS LIVELY,HOPE YOUR DAY ,IS AS LIVELY ,AS A PARTY FOR ,INTROVERTS 
ST20231125_160005_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,EXCITING AS A ,STALE DONUT 
ST20231125_160006_MAY YOUR DAY BE FILLED WITH AS,MAY YOUR DAY BE ,FILLED WITH AS ,MUCH EXCITEMENT ,AS A TAX AUDIT 
ST20231125_160007_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,VIBRANT AS YOUR ,PERSONALITY (NOT) 
