SKU,Name1,Name2,Name3,Name4
ST20231128_222935_OPOSSUMS THE BACKYARD ACROBATS GRACEFULLY,OPOSSUMS: THE ,"BACKYARD ACROBATS, GRACEFULLY ",HANGING BY THEIR TAILS ,AND STEALING HEARTS 
ST20231128_222936_OPOSSUMS ARE LIKE FURRY CUSTODIANS,OPOSSUMS ARE LIKE ,"FURRY CUSTODIANS, ",SILENTLY TIDYING UP OUR ,YARDS WHILE WE SLEEP 
ST20231128_222937_OPOSSUMS TEACHING US RESILIENCE BY,OPOSSUMS: TEACHING ,US RESILIENCE BY ,PRETENDING TO BE ROADKILL ,AND BOUNCING BACK 
ST20231128_222938_IF LIFE GIVES YOU LEMONS OPOSSUMS,IF LIFE GIVES YOU ,"LEMONS, OPOSSUMS ",SUGGEST PLAYING DEAD AND ,AVOIDING THE SOUR 
ST20231128_222939_OPOSSUMS BECAUSE SOMETIMES THE BEST,OPOSSUMS: BECAUSE ,SOMETIMES THE BEST ,DEFENSE IS A ,WELL-EXECUTED FAINTING SPELL 
ST20231128_222940_OPOSSUMS THE NATURAL ACTORS TURNING,OPOSSUMS: THE ,"NATURAL ACTORS, TURNING ",EVERY ENCOUNTER INTO A ,SUSPENSE THRILLER 
ST20231128_222941_OPOSSUMS ARE THE REAL-LIFE HOUDINIS,OPOSSUMS ARE THE ,"REAL-LIFE HOUDINIS, ",ESCAPING LIFE'S TRAPS WITH ,A DRAMATIC FLAIR 
ST20231128_222942_OPOSSUMS THE WILDLIFE SUPERHEROES QUIETLY,OPOSSUMS: THE ,"WILDLIFE SUPERHEROES, QUIETLY ",SAVING THE DAY BY ,KEEPING PESTS IN CHECK 
ST20231128_222943_OPOSSUMS PLAY DEAD,OPOSSUMS ,PLAY DEAD ,BETTER THAN I ,HANDLE MONDAYS 
ST20231128_222944_OPOSSUMS BECAUSE PLAYING,OPOSSUMS: ,BECAUSE PLAYING ,DEAD IS EASIER ,THAN ADULTING 
ST20231128_222945_OPOSSUMS THE ORIGINAL MASTERS,OPOSSUMS: THE ,ORIGINAL MASTERS ,OF 'HIT THE FLOOR ,AND PLAY DEAD 
ST20231128_222946_OPOSSUMS MAKING MIDNIGHT APPEARANCES TO,OPOSSUMS: MAKING ,MIDNIGHT APPEARANCES TO ,KEEP THE NEIGHBORHOOD BUG ,POPULATION IN CHECK 
ST20231128_222947_OPOSSUMS ARE NATURES RESPONSE TO THE,OPOSSUMS ARE ,NATURE'S RESPONSE TO THE ,"QUESTION, 'WHAT IF ",SPAGHETTI WAS A MAMMAL?' 
ST20231128_222948_DID YOU HEAR ABOUT THE OPOSSUMS COOKING SHOW,DID YOU HEAR ABOUT THE ,OPOSSUM'S COOKING SHOW? ,IT'S CALLED 'PLAYING ,POSSUM IN THE KITCHEN 
ST20231128_222949_IN THE POSSUM PLAYBOOK PLAY DEAD,IN THE POSSUM ,"PLAYBOOK: 'PLAY DEAD, ",THEN WADDLE AWAY ,UNNOTICED GENIUS 
ST20231128_222951_WHY DID THE OPOSSUM BRING A LADDER TO GET,WHY DID THE OPOSSUM ,BRING A LADDER? TO GET ,TO THE 'HIGH' GROUND ,WHEN THINGS GOT SCARY 
ST20231128_222952_OPOSSUMS THE SILENT CRITICS OF HUMAN,OPOSSUMS: THE SILENT ,CRITICS OF HUMAN ,"DRAMA, PERFECTING THE ",EYE-ROLL SINCE FOREVER 
ST20231128_222953_IF OPOSSUMS WERE MOTIVATIONAL SPEAKERS,IF OPOSSUMS WERE ,MOTIVATIONAL SPEAKERS: ,"'LIFE MIGHT BE TRASH, ",BUT PLAY IT DEAD COOL 
ST20231128_222954_OPOSSUMS PLAY HIDE AND SEEK LIKE PROS,OPOSSUMS PLAY HIDE ,AND SEEK LIKE PROS; ,THEY'RE ALWAYS HIDING WHEN ,YOU LEAST EXPECT IT 
ST20231128_222955_OPOSSUMS AT A PARTY THE ONLY GUESTS WHO CAN,OPOSSUMS AT A PARTY: ,THE ONLY GUESTS WHO CAN ,MAKE 'PLAYING POSSUM' ,A SOCIAL ACTIVITY 
ST20231128_222956_OPOSSUMS ARE THE UNDERCOVER AGENTS OF,OPOSSUMS ARE THE ,UNDERCOVER AGENTS OF ,"THE ANIMAL KINGDOM, ",MASTERS OF DECEPTION 
ST20231128_222957_WHY DID THE OPOSSUM START A COMEDY,WHY DID THE ,OPOSSUM START A COMEDY ,CLUB? BECAUSE IT ,NAILED THE DEADPAN! 
ST20231128_222958_IF OPOSSUMS WROTE SELF-HELP BOOKS,IF OPOSSUMS WROTE ,SELF-HELP BOOKS: ,'THE ART OF PLAYING ,DEAD AND THRIVING 
ST20231128_222959_OPOSSUMS THE NOCTURNAL NEIGHBORS THAT,OPOSSUMS: THE ,NOCTURNAL NEIGHBORS THAT ,TURN TRASH INTO ,TREASURE WHILE WE SLEEP 
ST20231128_223000_OPOSSUMS NATURES CLEANUP CREW,OPOSSUMS: ,"NATURE'S CLEANUP CREW, ",TURNING TRASH HEAPS ,INTO TIDY HABITATS 
ST20231128_223001_OPOSSUMS ARE THE REAL ACROBATS OF THE ANIMAL,OPOSSUMS ARE THE REAL ,ACROBATS OF THE ANIMAL ,"KINGDOM, TURNING FENCES ",INTO HIGH-WIRE ACTS 
ST20231128_223002_WHAT DID ONE OPOSSUM SAY TO THE OTHER AT A,WHAT DID ONE OPOSSUM ,SAY TO THE OTHER AT A ,PARTY? 'LET'S PLAY DEAD AND ,STEAL THE SPOTLIGHT 
ST20231128_223003_OPOSSUMS THE UNSUNG HEROES OF PEST,OPOSSUMS: THE ,UNSUNG HEROES OF PEST ,"CONTROL, KEEPING THE ",CRITTERS AT BAY 

