SKU,Name1,Name2,Name3,Name4
ST20231126_181726_VAQUITA SURVIVAL DEMANDS ACTION BE,VAQUITA SURVIVAL ,DEMANDS ACTION. BE ,THEIR ALLY IN THE ,FIGHT FOR EXISTENCE 
ST20231126_181727_VAQUITAS ARE FADING RISE LIKE A,VAQUITAS ARE ,FADING. RISE LIKE A ,TIDAL WAVEÂ€”SAVE THEM ,FROM EXTINCTION 
ST20231126_181728_JOIN THE VAQUITA MISSION,JOIN THE VAQUITA ,MISSION: ,"PRESERVE, CONSERVE, AND ",ENSURE A FUTURE 
ST20231126_181729_VAQUITAS ARE COUNTING ON US SEIZE THE,VAQUITAS ARE ,COUNTING ON US. SEIZE THE ,"URGENCY, ACT BOLDLY, ",SECURE THEIR FUTURE 
ST20231126_181730_VAQUITA GUARDIANS NEEDED BE THE SHIELD,VAQUITA GUARDIANS ,"NEEDED. BE THE SHIELD, ","STAND RESILIENT, ",PROTECT THEIR HAVEN 
ST20231126_181731_VAQUITA RESILIENCE LETS ENSURE THEIR,VAQUITA RESILIENCE: ,LET'S ENSURE THEIR ,"FUTURE, PROTECT THE ",OCEAN'S HEARTBEAT 
ST20231126_181732_DEFEND THE VAQUITA A VOICELESS,DEFEND THE ,VAQUITA: A VOICELESS ,SPECIES ON THE ,BRINK OF SILENCE 
ST20231126_181733_VAQUITA HOPE FLICKERS IGNITE A FLAME,VAQUITA HOPE ,FLICKERS. IGNITE A FLAME ,"OF ACTION, PROTECT ",THEM FROM SHADOWS 
ST20231126_181734_VAQUITAS CALL TO ARMS BREAK THE,VAQUITAS' CALL TO ,ARMS: BREAK THE ,"STILLNESS, CREATE RIPPLES, ",SAVE THEIR SYMPHONY 
ST20231126_181735_VAQUITA DEFENDERS UNITE BREAK THE,VAQUITA DEFENDERS ,UNITE: BREAK THE ,"SILENCE, SHATTER THE THREAT, ",SAVE THE SPECIES 
ST20231126_181736_VAQUITA SALVATION RISE LIKE A TIDE ENGULF,VAQUITA SALVATION: ,"RISE LIKE A TIDE, ENGULF ","THEM IN PROTECTION, ",PRESERVE THEIR GRACE 
ST20231126_181737_VAQUITA SURVIVAL IS IN OUR HANDS,VAQUITA SURVIVAL ,IS IN OUR HANDS. ,"RISE UP, SPEAK ","OUT, PROTECT THEM "
ST20231126_181738_VAQUITA ANTHEM A PLEA FOR EXISTENCE,VAQUITA ANTHEM: A ,PLEA FOR EXISTENCE. ,"RISE AS THE CHORUS, ",SING THEIR SALVATION 
ST20231126_181739_VAQUITA PORPOISES NEED WARRIORS,VAQUITA PORPOISES ,NEED WARRIORS. ,WILL YOU STAND UP FOR ,THEIR SURVIVAL? 
ST20231126_181740_VAQUITAS IN PERIL STAND TALL STAND,VAQUITAS IN PERIL. ,"STAND TALL, STAND ","FIERCE, BE THE GUARDIANS ",OF THEIR WORLD 
ST20231126_181741_URGENT CALL SAVE THE VAQUITA,URGENT CALL: ,"SAVE THE VAQUITA, ",AN EMBLEM OF ,MARINE RESILIENCE 
ST20231126_181742_VAQUITA LEGACY AT STAKE ROAR AGAINST,VAQUITA LEGACY AT ,STAKE. ROAR AGAINST ,"INDIFFERENCE, STAND FOR ",THEIR SURVIVAL 
ST20231126_181743_SAVE VAQUITAS GUARDIANS OF THE SEA,SAVE VAQUITAS: ,"GUARDIANS OF THE SEA, ",AMBASSADORS OF ,MARINE CONSERVATION 
ST20231126_181744_VAQUITAS AT THE CROSSROADS BE THE,VAQUITAS AT THE ,CROSSROADS. BE THE ,"GUIDE, LEAD THEM TO A ",SANCTUARY OF SAFETY 
ST20231126_181745_VAQUITAS PLEAD FOR SURVIVAL ANSWER WITH,VAQUITAS PLEAD FOR ,SURVIVAL. ANSWER WITH ,"UNWAVERING COMMITMENT, ",DEFEND THEIR WORLD 
ST20231126_181746_VAQUITA A SYMBOL OF RESILIENCE A BEACON,VAQUITA: A SYMBOL OF ,"RESILIENCE, A BEACON ",IN THE STORM. SHIELD ,THEM FROM EXTINCTION 
ST20231126_181747_VAQUITAS LAST DANCE BE THE,VAQUITAS' LAST ,DANCE. BE THE ,"CHOREOGRAPHER, PROTECT THEIR ",OCEANIC BALLET 
ST20231126_181748_VAQUITA ECHOES FADE BREAK THE SILENCE,VAQUITA ECHOES ,"FADE. BREAK THE SILENCE, ","AMPLIFY THEIR PLEA, ",BE THEIR ADVOCATE 
ST20231126_181749_SAVE THE VAQUITA A BATTLE CRY FOR,SAVE THE ,VAQUITA: A BATTLE CRY FOR ,"MARINE LIFE, A ",CALL TO ACTION 
ST20231126_181750_VAQUITA HEARTBEAT A FADING DRUM BEAT,VAQUITA HEARTBEAT: ,A FADING DRUM. BEAT ,"WITH RESILIENCE, ",ECHO THEIR SURVIVAL 
ST20231126_181751_VAQUITAS VANISH IN SILENCE ROAR LOUD,VAQUITAS VANISH IN ,SILENCE. ROAR LOUD ,"FOR THEIR SURVIVAL, ",BE THEIR VOICE 
ST20231126_181752_VAQUITA PLEA ACT DECISIVELY,VAQUITA PLEA: ,"ACT DECISIVELY, ",PRESERVE THEIR ,OCEANIC HAVEN 
ST20231126_181753_VAQUITAS FADING AWAY STAND AS A,VAQUITAS FADING ,AWAY. STAND AS A ,"BARRIER, SHIELD THEM ",FROM THE STORM 
ST20231126_181754_VAQUITA HEARTBEAT FADING SURGE WITH,VAQUITA HEARTBEAT ,FADING. SURGE WITH ,"DETERMINATION, ",RESUSCITATE THEIR MELODY 
ST20231126_181755_DEFEND THE VAQUITA WARRIORS NEEDED,DEFEND THE ,VAQUITA: WARRIORS NEEDED ,TO SHIELD THESE ,GENTLE MARINE SOULS 
ST20231126_181756_VAQUITA WARRIORS NEEDED EMBRACE THE,VAQUITA WARRIORS ,NEEDED. EMBRACE THE ,"FIGHT, PROTECT THE ","OCEANS, SAVE A SPECIES "
ST20231126_181757_VAQUITAS ON THE EDGE RALLY FOR,VAQUITAS ON THE ,EDGE: RALLY FOR ,"THEIR SURVIVAL, ",PROTECT OUR OCEANS 
ST20231126_181758_VAQUITAS EXISTENCE HANGING BY A THREAD,VAQUITAS' EXISTENCE ,HANGING BY A THREAD. ,STITCH A FABRIC OF ,"PROTECTION, SAVE A SPECIES "
ST20231126_181759_VAQUITAS FACE OBLIVION YOUR VOICE,VAQUITAS FACE ,OBLIVION. YOUR VOICE ,CAN REWRITE THEIR ,DESTINY. SPEAK UP 
ST20231126_181800_VAQUITAS A RALLYING CRY FOR,VAQUITAS: A ,RALLYING CRY FOR ,"CONSERVATION, A BATTLE CRY ",FOR LIFE'S HARMONY 
ST20231126_181801_VAQUITAS FACE THE ABYSS STAND ON,VAQUITAS FACE THE ,ABYSS. STAND ON ,"THE BRINK, BE THE ",FORCE OF REVIVAL 
ST20231126_181802_VAQUITAS FIGHT FOR BREATH WE FIGHT,VAQUITAS FIGHT FOR ,BREATH. WE FIGHT ,FOR THEIR EXISTENCE. ,JOIN THE BATTLE 
ST20231126_181803_VAQUITAS AT RISK STAND STRONG,VAQUITAS AT ,"RISK: STAND STRONG, ","PROTECT OUR OCEANS, ",SAVE A LEGACY 
ST20231126_181804_VAQUITA A SYMBOL OF OCEANIC,VAQUITA: A ,SYMBOL OF OCEANIC ,"GRACE, LET'S SAFEGUARD ",THEIR EXISTENCE 
ST20231126_181805_VAQUITAS ON THE BRINK LET COURAGE BE,VAQUITAS ON THE ,BRINK. LET COURAGE BE ,THE CURRENT THAT ,CARRIES THEM TO SAFETY 
ST20231126_181806_VAQUITAS ON THE EDGE IGNITE THE FLAME,VAQUITAS ON THE ,EDGE. IGNITE THE FLAME ,"OF CHANGE, SAVE ",THEIR SACRED DANCE 
ST20231126_181807_VAQUITAS PLEA BREAK THE CHAINS,VAQUITAS' PLEA: ,"BREAK THE CHAINS, ",RELEASE THEM INTO THE ,OCEAN'S EMBRACE 
ST20231126_181809_VAQUITA DREAMS AT RISK AWAKE THE WORLD,VAQUITA DREAMS AT ,"RISK. AWAKE THE WORLD, ",LET THEIR EXISTENCE ,BE A SHARED DREAM 
ST20231126_181810_VAQUITAS MATTER ACT TODAY TO ENSURE A,VAQUITAS MATTER. ,ACT TODAY TO ENSURE A ,TOMORROW FOR THESE ,MARINE WONDERS 
ST20231126_181811_FOR THE VAQUITA UNITE,FOR THE ,"VAQUITA: UNITE, ","ADVOCATE, AND BE THE ",VOICE THEY NEED 
